以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 22:15:50.05 ID:bma4CqtX0<> 旅人18 ◆SuCC.iRRwgが、青春１８きっぷで本日北海道に上陸しました！！ <br>  <br> 札幌到着後、鬼畜安価だろうがその場所へと目指しますｗｗｗ <br> ただ、一応拒否権はありますけど＼(^o^)／ <br>  <br> 前スレ <br> http://yutori.2ch.net/test/read.cgi/news4vip/1218034599/l50 <br> http://mimizun.com/search/perl/dattohtml.pl?http://mimizun.com/log/2ch/news4vip/yutori.2ch.net/news4vip/kako/1218/12180/1218034599.dat <br>  <br> 前々スレ <br> http://yutori.2ch.net/test/read.cgi/news4vip/1218022062/l50 <br> http://mimizun.com/search/perl/dattohtml.pl?http://mimizun.com/log/2ch/news4vip/yutori.2ch.net/news4vip/kako/1218/12180/1218022062.dat <br>  <br> 昨年の旅スレ（同じく１８きっぷで青森から京都まで）  <br> http://mimizun.com/search/perl/dattohtml.pl?http://mimizun.com/log/2ch/news4vip/yutori.2ch.net/news4vip/kako/1205/12050/1205038901.dat  <br>  <br> http://mimizun.com/search/perl/dattohtml.pl?http://mimizun.com/log/2ch/news4vip/yutori.2ch.net/news4vip/kako/1205/12052/1205252128.dat  <br>  <br> http://mimizun.com/search/perl/dattohtml.pl?http://mimizun.com/log/2ch/news4vip/yutori.2ch.net/news4vip/kako/1205/12055/1205512475.dat  <br>  <br>  <>18切符で旅に出たい～青森から北海道に上陸
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 22:17:13.23 ID:tsSayxEj0<> このスレもう無理じゃね？ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 22:18:29.31 ID:bma4CqtX0<> いや、携帯の具合とか電波が届かない辺境にいるとかだと思う。 <br>  <br> チンゲだって、携帯がおかしくなったし。 <br>  <br> アクセスしてくるまで気長に保守お願い。 <br>  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 22:24:29.48 ID:cQki+KZ90<> (´ﾟ∀ﾟ)ﾉ⌒☆  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 22:24:35.23 ID:+rCXgry/0<> 今北産業 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 22:33:06.19 ID:qABi18ZUO<> 全力で保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 22:33:21.25 ID:YlxREJKh0<> (*-∀-) ﾆﾋ♪ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 22:34:44.40 ID:qABi18ZUO<> 書き込めないだけかもだから一応VIP旅スレ倉庫のURLはっとくわ <br>  <br> http://tabi.shiroro.com/k.php <>
以下、名無しにかわりましてVIPがお送りします<>札幌<>2008/08/07(木) 22:39:05.99 ID:yODBVe6L0<> 携帯まったくつながらない <br> 書き込めなくて申し訳ない <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 22:43:14.97 ID:qABi18ZUO<> <a href="../test/read.cgi/news4vip/1218114950/9" target="_blank">&gt;&gt;9</a> <br> 機種なんだ？あうならべっかんこは無理だぜ <br> 適当に張っとくから繋がるか試してみろ <br> http://i.i2ch.net/z/-NWF0.llI/V9/1 <br> http://ula.cc/sp2ch/ <br> http://s.s2ch.net/search/-/ <br> http://s.s2ch.net/test/-/yutori.2ch.net/news4vip/ <br> http://c.2ch.net/ <br>  <br> 無理だったら避難所たてさせてもらえば？ <br> 人はあんまりあつまんないだろうけど <>
以下、名無しにかわりましてVIPがお送りします<>札幌<>2008/08/07(木) 22:46:54.30 ID:yODBVe6L0<> <a href="../test/read.cgi/news4vip/1218114950/10" target="_blank">&gt;&gt;10</a>auだ、朝から混雑がどうとかでつながらないんだよ <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2008/08/07(木) 22:48:13.54 ID:WqzJSTBz0<> <a href="../test/read.cgi/news4vip/1218114950/11" target="_blank">&gt;&gt;11</a> <br> これもhttp://orz.2ch.io/ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 23:00:58.52 ID:YlxREJKh0<> 　 _ 　 ∩ <br> (　ﾟ∀ﾟ)彡　ほっしゅほっしゅ <br> 　⊂彡 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 23:05:45.99 ID:bma4CqtX0<> <a href="../test/read.cgi/news4vip/1218114950/11" target="_blank">&gt;&gt;11</a> <br> 本日の旅の軌跡を教えて・・・ <>
以下、名無しにかわりましてVIPがお送りします<>１８切符<>2008/08/07(木) 23:08:29.18 ID:RPAyGVSB0<> ほっしゅ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 23:09:16.31 ID:bma4CqtX0<> http://tabi.shiroro.com/bbs/tabi/ <br>  <br> <a href="../test/read.cgi/news4vip/1218114950/11" target="_blank">&gt;&gt;11</a>、上にスレ立ててほしいね・・・ <br> 避難所として活用したいしｗ <br>  <br> で、今は札幌にいるんだ・・・ <br> 明日は何時に出発予定？ <br>  <br> それとも、ゆっくりと札幌観光に徹する？？ <br> 明後日以降の安価に備えて＼(^o^)／ <br>  <br> とにかく、お疲れさん <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/07(木) 23:17:52.73 ID:Er333y430<> ☆ <>
