以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 13:48:35.36 ID:xz/r8ac30<> ヒグチ <br> ２１歳 大学四年 <br> 就職決まるも留年が決まってる <br>  <br> 埼玉から屋久島まで自転車で旅をしています。 <br>  <br> 今は鹿児島県の鹿児島にいます。 <br>  <br> 大阪で病に倒れ、その後は避難所でやっておりました。色々心配をお掛け致しまして申し訳ありませんでした。 <br>  <br> というわけで、応援してくれよなw <br> 誰でもうぇるかもw <>埼玉から屋久島まで自転車で旅してくる　鹿児島篇
愛のかぁびぃ </b>◆Kirby..wFo <b><><>2008/08/24(日) 13:49:53.62 ID:+toRHMBz0 BE:584380883-PLT(24745)<> チクビ <br>  <br> に見えた <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 13:51:58.81 ID:vEUKakan0<> 落ちてんじゃねーかｗｗｗｗ <br>  <br> 保守入れるわｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 13:52:53.52 ID:4PRHchRDO<> 鹿児島のどこ？ <br> いつ屋久島にいくの？ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 13:53:00.40 ID:xz/r8ac30<> 3日落ちだよ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 14:03:02.51 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 14:13:02.94 ID:vEUKakan0<> (　ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 14:15:49.72 ID:JTSjPdpY0<> もう鹿児島か…埼玉県民として応援してるぜ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 14:25:51.00 ID:vEUKakan0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 14:35:51.41 ID:vEUKakan0<> (ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 14:45:53.47 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 14:55:55.74 ID:vEUKakan0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 15:05:57.83 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 15:12:04.87 ID:WQwrM1ht0<> (*´Д`)ﾊｧﾊｧ　 <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2008/08/24(日) 15:15:55.40 ID:hVsPgGiQ0<> ID:vEUKakan0は自動保守いれてくれてんのか？ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 15:25:57.49 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 15:35:59.79 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 15:46:01.74 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 15:47:12.91 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 15:57:14.89 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 16:07:15.68 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 16:17:15.97 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 16:27:16.24 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 16:34:24.52 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
ヒグチ </b>◆gqzg/l1Wys <b><><>2008/08/24(日) 16:37:55.01 ID:06Nz8AsGO<> スレありがとにー <br> 今、天達と別れますｗｗｗ <br> 今から、送りに行ってくるぜｗｗｗ <br>  <br> 感動の別れｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 16:45:32.96 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 16:55:34.00 ID:vEUKakan0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 17:05:36.32 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 17:15:38.34 ID:vEUKakan0<> (ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 17:25:39.83 ID:vEUKakan0<> |ω・｀)ちらっと保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 17:35:39.50 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 17:45:40.66 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 17:52:18.85 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 18:02:19.96 ID:vEUKakan0<> (　ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 18:12:21.88 ID:vEUKakan0<> 保守 <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 18:22:23.89 ID:vEUKakan0<> (ﾟдﾟ) <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 18:30:04.20 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!! いれたお <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2008/08/24(日) 18:32:00.66 ID:rGaHK3zb0<> ヒグチたんの今後の予定は？ <br> 明日、屋久島行きの船に乗るのかしらぁ？ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 18:36:48.07 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 18:42:16.06 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 18:47:57.86 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
ヒグチ </b>◆gqzg/l1Wys <b><><>2008/08/24(日) 18:55:53.13 ID:u2MnrdWR0<> <a href="../test/read.cgi/news4vip/1219553315/38" target="_blank">&gt;&gt;38</a> <br> 明日の朝一番の船に乗って、屋久島に行くつもりです。 <br> たぶん、屋久島には大体3日以上居る予定だおｗｗｗｗｗ <br> 暇なVIPPERいたら是非ｗｗｗｗｗｗ <br>  <br> 今、鹿児島蛇宅ｗｗｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 19:03:32.45 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 19:10:12.40 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
以下、名無しにかわりましてVIPがお送りします<>sage<>2008/08/24(日) 19:16:28.41 ID:rGaHK3zb0<> ＞＞４２ <br> レスありがとう、屋久島楽しんできてね。 <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 19:18:39.69 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 19:28:43.03 ID:vEUKakan0<> (｀・ω・´)全力で保守 <>
以下、名無しにかわりましてVIPがお送りします<>焼肉王子<>2008/08/24(日) 19:33:45.79 ID:qh7j4aNg0<> ⊂（＾肉＾）⊃ｾﾌｾﾌ!!  <br>  <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 19:35:38.79 ID:n65Mfww1O<> ヒグチが焼肉希望で焼肉になりました。安価は無しｗ <>
ヒグチ </b>◆gqzg/l1Wys <b><><>2008/08/24(日) 19:36:41.68 ID:06Nz8AsGO<> 今から飯食ってくるおｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2008/08/24(日) 19:43:37.24 ID:QYs5Oe9B0<> ｱﾎﾞﾊﾞｰ＼(＾o＾)／ <>
