以下、名無しにかわりましてVIPがお送りします<><>2011/12/23(金) 17:37:30.30 ID:ieWldW7K0<> 縦断するのはこいつ、名前はピピ <br> http://i.imgur.com/ynuMV.jpg <br> 進行状況 <br> http://www51.atwiki.jp/tripofpipi/pages/53.html <br>  <br> 全国各地のvipper達で挑戦するぬいぐるみリレー！ピピと記念撮影してうｐしたり <br> 一緒にまわすノートに色々書いたり目指せ全国制覇！！ <br> 但し出会い厨は帰れ、お断りです <br>  <br> ※twitterやブログにwiki、本スレ、避難所のURL添付は一切禁止のこと※ <br> 出会い、オフスレにしたくないので禁止事項、これは守ってくれよ <br>  <br> ※詳しい事はwiki参照 <br> wiki http://www51.atwiki.jp/tripofpipi/ <br> 避難所 http://ex14.vip2ch.com/test/read.cgi/part4vip/1321802526/ <br> （以下の避難所はあくまでパー速に設置してある避難所が落ちた場合に使用すること） <br> 避難所2 http://xch.orz-3.net/test/read.cgi/freedom/1320032726/ <>【vipperと猫が日本縦断】ピピの旅スレ
以下、名無しにかわりましてVIPがお送りします<><>2011/12/23(金) 17:38:27.51 ID:ieWldW7K0<> ※※※※※※※※※※※※新規参加希望者へ※※※※※※※※※※※※ <br>  <br> 参加表明者は、県名（できれば○○市とか○○県北部とか）をコテにし、酉、 <br> 移動範囲と手段をレス、あと意気込みとかひとことどうぞ！ <br> 年齢、性別は明記しない！ <br> 「○○県だけど需要ある？」とかいいからとにかくおいでなさいや <br>  <br> ※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※※ <br>  <br> ！次の受け渡しが決まったvipperは本スレで細かい場所と時間、服装は絶対にレスしない(避難所にて) <br> ！既に参加が決まってコテ酉持ってる人は、出番が近くなったらコテ酉つけてルート会議に参加すること <br> ！出番待ちや、出番終了後のコテ酉を付けるか付けないかは自由（運営は出来れば常時付けてね） <br> ！二十歳未満の有志は受け渡し担当者になったら避難所で必ず相手に未成年であることを告げる事 <>
二代目コメ係 </b>◆kome/l.DcA <b><>hagepresents<>2011/12/23(金) 17:41:40.14 ID:v02mlFk70<> 　　　i  <br> 　　　|⌒｀ヽ　　  <br> 　　　|ﾉ）)）iヽ<a href="../test/read.cgi/news4vip/1324629450/1" target="_blank">&gt;&gt;1</a>乙ですお <br> 　　　|∀・ﾉ!人  <br> 　　　| と)ヽ）　　  <br> 　　　|i|_＼&gt;  <br> 　　　|ノ::::::::::::::::::::  <br> 　''￣ :::::::::::::::::::  <br> ■■緊急招集■■  <br> 今後のルートを決めるので【グンマー、長野、山梨】の登録有志は至急コテ酉つけて出て来い！  <br>   <br> ■■求人広告■■  <br> 黒猫ピピさんがvipperの力を借りて日本一周するのをお手伝いしようぜ！  <br> いつでもご新規さんを募集中  <br> 詳しくは<a href="../test/read.cgi/news4vip/1324629450/1" target="_blank">&gt;&gt;1</a><a href="../test/read.cgi/news4vip/1324629450/2" target="_blank">&gt;&gt;2</a>を参照の上遠慮せずに参加してくださいね  <br> wikiも読めば流れがもっとわかるよ  <br>   <br> ■■急募■■  <br> 現時点で召集に応じた有志は、グンマー5名、長野4名、山梨3名、南関東いっぱい  <br> グンマー・長野のビッパーは今参加表明すればピピさんに会える確率が高いぞ  <br> 我こそはと思う人材がいたら遠慮なく来てくれ！  <br>   <br> ピピさんはウワサのグンマー【群馬県伊勢崎】あたりで一息ついてる  <br>   <br> ＊＊今後の有志受け渡しルート案＊＊  <br> 群馬予備氏→群馬＠チキン氏→グンマ氏(仮・連絡ください)→長野＠東信氏→長野北信氏→(長野県松本氏⇔納豆@長野氏)→(山梨氏⇔マルボロ＠山梨氏⇔山梨(　^ω^)氏)  <br>   <br> ＊＊県境越え目標ルート＊＊  <br> 群馬→長野→山梨→(埼玉⇔東京)→千葉→神奈川→東海  <br>   <>
二代目コメ係 </b>◆kome/l.DcA <b><>hagepresents<>2011/12/23(金) 17:43:15.96 ID:v02mlFk70<>  <br> 　　　i  <br> 　　　|⌒｀ヽ　　  <br> 　　　|ﾉ）)）iヽそして目安表 <br> 　　　|∀・ﾉ!人  <br> 　　　| と)ヽ）　　  <br> 　　　|i|_＼&gt;  <br> 　　　|ノ::::::::::::::::::::  <br> 　''￣ :::::::::::::::::::  <br>   <br>   <br> 新・保守時間目安表 (休日用)   <br> 00:00-02:00 10分以内   <br> 02:00-04:00 20分以内   <br> 04:00-09:00 40分以内   <br> 09:00-16:00 15分以内   <br> 16:00-19:00 10分以内   <br> 19:00-00:00 5分以内   <br>   <br> 新・保守時間の目安 (平日用)   <br> 00:00-02:00 15分以内   <br> 02:00-04:00 25分以内   <br> 04:00-09:00 45分以内   <br> 09:00-16:00 25分以内   <br> 16:00-19:00 15分以内   <br> 19:00-00:00 5分以内  <>
二代目コメ係 </b>◆kome/l.DcA <b><>hagepresents<>2011/12/23(金) 17:44:06.24 ID:v02mlFk70<> 前スレより <br>  <br> 834 不幸な人 ◆FUKOUDXo1g   2011/12/23(金) 02:37:46.71 ID:kb6eqYbi0 <br> 何か前スレくらいからちょくちょく心配かけてるようなので久し振りに本スレに参上  <br> 来週から正月休みに入るし、3連休もあるしゆっくり休めそうｗｗ  <br>   <br> 仕事以外の事でもバタバタしてるというか色々考えないといけないから  <br> 大変だけど元気でポテチも毎日食ってるぜｗｗｗ  <br> ご心配おかけしていたようで申し訳ない  <br> でも今日も取り敢えずもう寝ます、ごめんなさい  <br>   <br>   <br> 　　　               ＿＿＿_  <br> 　　　　 　 　 　 ／　　　　　＼　　  <br> 　　　　　　　 ／　 　⌒　　⌒ ＼　　　　　とにかく何が言いたいかっていうと  <br> 　　　　　　／　 　 （●） 　（●） ＼　 　　　　　　俺はやっぱりポテチが大好きなんです  <br> 　　　　 　 |　 　､"　ﾞ)（__人__）"　　）  <br> 　　　　　　＼　 　 　 ｡｀ ⌒ﾟ:j´　,／　ﾊﾞﾘｯ 　  <br> 　 　　　　　　｀&gt;　　゜　　 　　　&lt;　　　 ﾎﾞﾘｯ 　  <br> 　 　　　　　／　　　　　　　　　　｀ヽ 　  <br> 　 　　　　 （　￣￣￣ヽ　　　 　　　ヽ 　  <br> 　 　　　　　｀ーＴ￣|'`'`'`'`'`'`７| 　　）  <br> 　 　　　　　　　 |　 |　 ﾎﾟﾃﾄ　 |、| ／  <br> 　 　　　　　　　 |　 |　ﾁｯﾌﾟｽ（￣ ) 　  <br> 　 　　　　　　　 |　 |　　　　　　Ｔ´  <br> 　 　　　　　　　 |　ム========ゝ  <br> 835 不幸な人 ◆FUKOUDXo1g   2011/12/23(金) 02:38:29.02 ID:kb6eqYbi0 <br> 頭がずれたしにたい  <br> おやすみなさい  <>
以下、名無しにかわりましてVIPがお送りします<><>2011/12/23(金) 17:47:47.66 ID:ieWldW7K0<> くそおおおおお１が1000まで潜んでたあああああああ <>
二代目コメ係 </b>◆kome/l.DcA <b><>hagepresents<>2011/12/23(金) 17:48:11.34 ID:v02mlFk70<> 前スレ<a href="../test/read.cgi/news4vip/1324629450/1000" target="_blank">&gt;&gt;1000</a> <br>  <br> 1000 1です ◆UtsPfjq6fE3i   2011/12/23(金) 17:46:49.30 ID:pWWGLSn20 <br> 1000ｗｗｗｗｗｗｗｗｗ  <br> もろたｗｗｗ  <>
1です </b>◆UtsPfjq6fE3i <b><><>2011/12/23(金) 17:48:24.70 ID:pWWGLSn20<> <a href="../test/read.cgi/news4vip/1324629450/1" target="_blank">&gt;&gt;1</a>乙！ <br>  <br> センスの欠片もない1000だったな <>
二代目コメ係 </b>◆kome/l.DcA <b><>hagepresents<>2011/12/23(金) 17:48:37.19 ID:v02mlFk70<> やられたｗｗ <>
二代目コメ係 </b>◆kome/l.DcA <b><>hagepresents<>2011/12/23(金) 17:49:11.32 ID:v02mlFk70<> <a href="../test/read.cgi/news4vip/1324629450/8" target="_blank">&gt;&gt;8</a> <br> そう思うならどうにかしろよｗｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2011/12/23(金) 17:49:24.54 ID:ieWldW7K0<> <a href="../test/read.cgi/news4vip/1324629450/8" target="_blank">&gt;&gt;8</a> <br> 分かってるならヒネれｗｗｗ <>
以下、名無しにかわりましてVIPがお送りします<><>2011/12/23(金) 17:50:32.43 ID:ieWldW7K0<> <a href="../test/read.cgi/news4vip/1324629450/10" target="_blank">&gt;&gt;10</a> <br> あ、重要ﾃﾝﾌﾟﾚ貼りおつです！ <>
二代目コメ係 </b>◆kome/l.DcA <b><>hagepresents<>2011/12/23(金) 17:51:26.15 ID:v02mlFk70<> <a href="../test/read.cgi/news4vip/1324629450/12" target="_blank">&gt;&gt;12</a> <br> たまには役に立たないとさ…ハハッ… <>
以下、名無しにかわりましてVIPがお送りします<><>2011/12/23(金) 17:53:13.58 ID:ieWldW7K0<> <a href="../test/read.cgi/news4vip/1324629450/13" target="_blank">&gt;&gt;13</a> <br> ○ッキー笑いが胡散臭い… <>
二代目コメ係 </b>◆kome/l.DcA <b><>hagepresents<>2011/12/23(金) 17:54:29.52 ID:v02mlFk70<> <a href="../test/read.cgi/news4vip/1324629450/14" target="_blank">&gt;&gt;14</a> <br> ばれたかｗｗ <br>  <br> いや、ミッキーのAA貼ろうとしたら改行多すぎる死ねksって言われたお <>
以下、名無しにかわりましてVIPがお送りします<><>2011/12/23(金) 17:58:26.04 ID:XnPJOqCc0<> １乙 <br> 後３０分肉漬けたら揚げるんだ <>
