1<>以下名無しにかわってVIPがお送りします <><>2010/03/05(金) 23:44:29<>過去スレ<br>１：[本ｽﾚ]京都VIPPER移jふぁっ…どこさわっ…んんっ…[inしたらば]<br>　　　ttp://jbbs.livedoor.jp/bbs/read.cgi/computer/30117/1149064575/<br>２：【本スレ？】京都VIPPER【inしたらば】<br>　　　ttp://jbbs.livedoor.jp/bbs/read.cgi/computer/30117/1166877433/<br>３：【本スレ】京都VIPPER Part2【inしたらば】<br>　　　ttp://jbbs.livedoor.jp/bbs/read.cgi/computer/30117/1200539953/<>【本スレ】京都VIPPER Part4【inしたらば】<>JlfIQ8V.0
2<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/03/06(土) 02:28:55<>かれいににげっとずさー<><>alPvU.CQ0
3<>以下名無しにかわってVIPがお送りします <><>2010/03/06(土) 19:30:17<>ここは何するスレでつか？<><>cFvsLYn20
4<>以下名無しにかわってVIPがお送りします <><>2010/03/06(土) 19:54:11<>(;´Д｀)ﾊｧﾊｧ<><>eW2FbBNE0
5<>西<><>2010/03/10(水) 19:21:01<>今オレは大阪に引っ越した<br>京都<br>ﾃﾗﾅﾂｶｼｽ<br>おにごっしょとかアホすぎたｗｗｗ<><>dMWDEWto0
6<>カチューシャ様<><>2010/03/10(水) 19:28:21<>にｗしｗくｗんｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ<br><br>※西君基本情報：ピザ，ヒモ<><>o2f869RQO
7<>以下名無しにかわってVIPがお送りします <><>2010/03/20(土) 04:32:50<>...<><>hDwBP6cs0
8<>以下名無しにかわってVIPがお送りします <><>2010/03/20(土) 23:54:36<>風強すぎ<><>lZTxAkscO
9<>以下名無しにかわってVIPがお送りします <>sage<>2010/03/21(日) 00:46:37<>世間の風当たりですね<><>cmmvrckg0
10<>以下名無しにかわってVIPがお送りします <>sage<>2010/03/24(水) 12:46:11<>寒い！！寒いお(´;ω;｀)<><>6T.uIRhgO
11<>西<><>2010/03/25(木) 19:55:13<>&gt;&gt;カチュ<br><br>情報更新な　：　ピザ、国会議員秘書<br>　　　　　　　　　　　　　　　　↑<br>　　　　　　　　　　　　　　　我ながら驚きｗｗｗｗｗ<><>Vv7H6qw.0
12<>頭<><>2010/03/28(日) 13:33:14<>ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ<><>TlbMmTccO
13<>以下名無しにかわってVIPがお送りします <><>2010/03/29(月) 03:55:09<>秘書ってマジ言ってるんスカ？<><>30PNZv7IO
14<>以下名無しにかわってVIPがお送りします <>sage<>2010/03/29(月) 09:22:17<>秘所<><>wrP2fAzY0
15<>以下名無しにかわってVIPがお送りします <><>2010/04/04(日) 17:32:21<>桜に加えて夜景も綺麗なんだぜｗ<br>ttp://orz-3.net/1/6329/2099.jpg<><>flKb0qMY0
16<>以下名無しにかわってVIPがお送りします <><>2010/04/05(月) 15:29:14<>寒すぎバロスｗｗｗ<><>Xo2OEUXsO
17<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/04/07(水) 21:11:22<>出張で京都なう<><>TLDSBhVsO
18<>以下名無しにかわってVIPがお送りします <><>2010/04/07(水) 21:17:38<>やぁ<><>e4U8HdGU0
19<>以下名無しにかわってVIPがお送りします <><>2010/04/07(水) 21:23:51<>桜満開の京都、<br>今すぐ円山公園行けｗｗｗ<br><br>ちょっと寒いけどｗ<br><br>なんだ、出世したのか・・・<><>w3/TY9.Uo
20<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/04/10(土) 00:00:42<>特に観光するコト無く出張終了なう<><>qVQSLqzgO
21<>以下名無しにかわってVIPがお送りします <><>2010/04/10(土) 05:17:26<>京都をヌルーして和歌山向かうなう<><>wAiXUj16o
22<>以下名無しにかわってVIPがお送りします <><>2010/04/10(土) 08:15:42<><a href="/bbs/read.cgi/computer/30117/1267800269/21" target="_blank">&gt;&gt;21</a><br>おぬし…紳士スレみてるな！ｗ<><>O5OfKIm.0
23<>以下名無しにかわってVIPがお送りします <>sage<>2010/04/10(土) 08:25:43<>京都旅しない京１より全国旅する紳士の方が素敵なんですもの　　　・・・なう<><>eSecaslwo
24<>以下名無しにかわってVIPがお送りします <><>2010/04/11(日) 12:37:37<>那智勝浦から京都通らず滋賀へ帰るなう<><>AOnKctZYo
25<>以下名無しにかわってVIPがお送りします <>sage<>2010/04/12(月) 13:09:48<>銀閣寺修復が終わったらしいぜｗ<br>西本願寺飛雲閣も絶賛公開中　・・・らしいぜｗ<><>PYYDQplM0
26<>以下名無しにかわってVIPがお送りします <>sage<>2010/04/12(月) 13:16:54<>語尾の「ｗ」はなんなんだぜ？<><>CnHQ6iJE0
27<>以下名無しにかわってVIPがお送りします <><>2010/04/18(日) 11:11:09<>お前らなうなううるせぇなｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ<><>KGlY87KoO
28<>以下名無しにかわってVIPがお送りします <><>2010/04/19(月) 07:27:19<>諦めなければきっと夢はかなう<><>ol7bE/bY0
29<>そうだ、京都へ行こうスレの&gt;1</b> ◆4BmFm/dw9A<b><><>2010/05/05(水) 19:31:08<>京都のフーゾク事情って正直どうなんだろう<br>って、チラッと思った・・・<br><br>・・・いや、利用しないよ？ｗ<br><br><br><br>利用しないってばッ！ｗｗｗ<><>Trp0hk06O
30<>以下名無しにかわってVIPがお送りします <><>2010/05/05(水) 19:52:21<>DX東寺<br>五條楽園<><>HIZIdRqwo
31<>以下名無しにかわってVIPがお送りします <>sage<>2010/05/05(水) 20:45:56<>セクキャバ奢ってくれるなら案内します<><>in6VMvps0
32<>以下名無しにかわってVIPがお送りします <><>2010/05/16(日) 23:00:48<>はぶ乙<><>9xmWHypAO
33<>以下名無しにかわってVIPがお送りします <><>2010/05/16(日) 23:28:49<>はぶってやつきもい<><>ICCUk8uk0
34<>以下名無しにかわってVIPがお送りします <><>2010/05/17(月) 21:56:16<>本人乙<><>lVuVYb3EO
35<>以下名無しにかわってVIPがお送りします <><>2010/05/23(日) 12:27:22<>もはやだれもおらぬのか<><>rZzn1oew0
36<>以下名無しにかわってVIPがお送りします <><>2010/05/23(日) 12:27:35<>ぬるぽ<><>rZzn1oew0
37<>以下名無しにかわってVIPがお送りします <><>2010/05/23(日) 12:55:03<>■━⊂(　・∀・) 彡 ｶﾞｯ☆`Д´)ﾉ<><>3mxAy7AQ0
38<>以下名無しにかわってVIPがお送りします <><>2010/05/23(日) 20:14:01<>くんなよｗｗｗ<><>rZzn1oew0
39<>以下名無しにかわってVIPがお送りします <><>2010/05/23(日) 20:19:53<>ぬるぽ<><>ZcsTsGWw0
40<>以下名無しにかわってVIPがお送りします <><>2010/05/23(日) 23:24:55<>■━⊂(　・∀・) 彡 ｶﾞｯ☆`Д´)ﾉ<><>rZzn1oew0
41<>以下名無しにかわってVIPがお送りします <><>2010/05/25(火) 02:48:12<>ぬるぽ<><>BN7crgTE0
