うなぎパイ</b> ◆IBqhLpTi1Y<b><><>2013/03/05(火) 18:48:02.92 ID:IJ5UBTSho<>そんなスレの避難所の2 <br>  <br> ※前スレ <br> http://ex14.vip2ch.com/test/read.cgi/part4vip/1355104083/<>うなぎパイってコテハンが旅したりするスレの避難所★２
以下、VIPにかわりましてパー速民がお送りします<><>2013/03/05(火) 19:15:41.89 ID:qd2MVVgRO<> いちょつ！ <>
以下、VIPにかわりましてパー速民がお送りします<><>2013/03/05(火) 19:24:32.94 ID:6EAboYmr0<> 以前､3のくせに｢2get｣と書き込んでしまい､  <br> ｢2000万年ROMってろ!｣と言われてしまった者です｡  <br> 言われた通り2000万年間､沢山沢山ROMりました｡  <br> 猿から人類への進化…  <br> 途中､｢ｶﾞｯﾄﾊﾌﾞｸﾞﾌｰﾝ?｣と書き込んだｼﾞｬﾜ原人に反論しそうになったりもしましたが､ 言いつけを固く守り､唇を咬んでROMに徹しました｡  <br> そして現れては消えていく文明｡数え切れないほどの戦争…生と死､生と死｡  <br> 2000万年経った今､晴れて縛め(いましめ)を解かれた私(わたくし)が､  <br> 2get出来るﾁｬﾝｽに今っ!恵まれました｡  <br> 感動で…私の胸は張り裂けんばかりです｡  <br> 卑弥呼女王､見てますか?  <br> 義経様、清盛様見てますか？  <br> 信長様、秀吉様、家康様 見てますか？  <br> それでは､2000万年の歴史の重みと共に､  <br> ｷｰﾎﾞｰﾄﾞを叩き壊すほどの情熱をもって打ち込ませていただきます｡  <br> 2get  <br>  <>
以下、VIPにかわりましてパー速民がお送りします<><>2013/03/05(火) 19:36:50.03 ID:n32m3i78o<> &gt;3 <br> 2001万年ROMってろ！！！ <>
以下、VIPにかわりましてパー速民がお送りします</b>(愛知県)<b><><>2013/03/05(火) 19:46:51.77 ID:A4M+slPv0<> &gt;&gt;3 <br> 駄目じゃん <>
以下、VIPにかわりましてパー速民がお送りします</b>(愛知県)<b><><>2013/03/05(火) 19:47:59.68 ID:A4M+slPv0<> &gt;&gt;3 <br> 駄目じゃん <>
なすーん<>なすーん<>なすーん<> 　 　　　　　　　　　　　　　　　　　　　__　　　　　 　 ､]l./⌒ヽ､　｀ヽ､　　　　 ,r'7'"´Z__ <br>　 　　　　　　　　　　　　　　　　　　 　｀ヽ ｀ヽ､-v‐'｀ヾﾐ| |/三ミヽ　　 ｀iｰr=&lt;　　　　─ﾌ <br>　 　　　　　　　　　　　　　　　　　　　＜　　 ／´　 r'´ 　 `　　　｀ ＼　　｀|　ﾉ　　　　 ∠_ <br>　 　　　　　　　　　　　　　　　　　　　｀ヽ､__//　 /　　 |/| ヽ __＼ ＼ヽ　　|く　　　___彡'′ <br>　 　　　　　　　　　　　　　　　　　 　　｀`ｰ// 　 |_i,|-‐|　l ﾞ､ヽ　｀ヽ-､|!　　|　`ヽ=='´ <br>　 　　　　　　　　　　　　　　　　　　　 　　l/|　| '| |!|,==|　ヽヽr'⌒ヽ|ヽ|　　 |　　 | <br>　 ┏┓　 ┏━━━┓　 　 　 　 　　　　　 |　|| ｀Y ,r‐､　　ヽl,_)ヽ ﾞ､_ |　　 |　　 |.　 　 　 　　　┏━┓ <br>┏┛┗┓┗━━┓┃ 　 　 　 　 　 　　　...ヽﾘﾞ! | l::ｰ':|　　　|:::::::}　|. | /　l|｀! |i |.　　　　 　　　┃ 　┃ <br>┗┓┏┛　　　　 ┃┃┏━━━━━━━.j | l|.! l::::::ﾉ ,　　ヽ-'　'´ i/|　 !|/ | |ﾘ ━━━━┓┃ 　┃ <br>　 ┃┃　 　 ┏━┛┃┃ 　 　　　 ┌┐ 　　| l| { //｀ iー‐‐ 'i　 　 〃/ j|| ||. |ﾉ　　　　　 　 ┃┃ 　┃ <br>　 ┃┃　　　┃┏┓┃┗━━━.んvﾍvﾍゝ | l|　ヽ　　ヽ 　 /　　 _,.ィ ノ/川l/.━━━━━┛┗━┛ <br>　 ┃┃　 ┏┛┃┃┗┓　　　 　i　　　　　.i 　ﾞi＼ゝ｀` ‐ﾞ='＝''"´|二ﾚ'l/″　　　　　　　　　　 ┏━┓ <br>　 ┗┛　 ┗━┛┗━┛　　　　ﾉ　　　　　 ! --─‐''''"ﾒ」_,､-‐''´￣ヽ､ 　 　　　　　　　　　　　┗━┛ <br>　 　　　　　　　　　　　　　　　　 r|__　　　　　ト､,-&lt;"´´　　　 　 　 　 /ﾄ､ <br>　 　　　　　　　　　　　　　　　　|　　{　　　 r'´　 ｀l　l　　　　　　　　　/||　ヽ <br>　 　　　　　　　　　　　　　　　　ﾞ､ 　 }　　　}　　　 | _|＿＿_,,､-─‐'´　|　　 ﾞ､ <br>　 　　　　　　　　　　　　　　　　　 `‐r'.,＿,.ノヽ､__ノ/　　|　 |　　　　　　|､__r'｀ﾞ′ <br>　 　　　　　　　　　　　　　　　　　　　　　　　　　　|　　 |／　　　　　i　| <br>　 　　　　　　　　　　　　　　　　　　　　　　　 　 　|　　　　　　　　　 | | <>
以下、VIPにかわりましてパー速民がお送りします<><>2013/03/05(火) 19:54:14.52 ID:PhWtGPLuO<> 1000 名前:うなぎパイ ◆IBqhLpTi1Y  :2013/03/05(火) 19:46:28.82 ID:ikv43Ic7i <br> &gt;&gt;1000なら佐賀県でチチクリアンライス <br> 1000 名前:うなぎパイ◆IBqhLpTi1Y :2013/03/05(火) 19:53:31.32 ID:Dfhc/4PBO <br> &gt;&gt;1000ならさらに佐賀県で巨乳パーク <br>  <>
以下、VIPにかわりましてパー速民がお送りします<><>2013/03/05(火) 19:56:48.54 ID:uM/9LcLLO<> うなぎパイさんたら、相当溜まってるようですね <>
以下、VIPにかわりましてパー速民がお送りします</b>(福岡県)<b><><>2013/03/05(火) 19:57:09.58 ID:hxw25+Vlo<> VIPに次スレ立てないの？ <>
なすーん<>なすーん<>なすーん<> 　 　　　　　　　　　　　　　　　　　　　__　　　　　 　 ､]l./⌒ヽ､　｀ヽ､　　　　 ,r'7'"´Z__ <br>　 　　　　　　　　　　　　　　　　　　 　｀ヽ ｀ヽ､-v‐'｀ヾﾐ| |/三ミヽ　　 ｀iｰr=&lt;　　　　─ﾌ <br>　 　　　　　　　　　　　　　　　　　　　＜　　 ／´　 r'´ 　 `　　　｀ ＼　　｀|　ﾉ　　　　 ∠_ <br>　 　　　　　　　　　　　　　　　　　　　｀ヽ､__//　 /　　 |/| ヽ __＼ ＼ヽ　　|く　　　___彡'′ <br>　 　　　　　　　　　　　　　　　　　 　　｀`ｰ// 　 |_i,|-‐|　l ﾞ､ヽ　｀ヽ-､|!　　|　`ヽ=='´ <br>　 　　　　　　　　　　　　　　　　　　　 　　l/|　| '| |!|,==|　ヽヽr'⌒ヽ|ヽ|　　 |　　 | <br>　 ┏┓　 ┏━━━┓　 　 　 　 　　　　　 |　|| ｀Y ,r‐､　　ヽl,_)ヽ ﾞ､_ |　　 |　　 |.　 　 　 　　　┏━┓ <br>┏┛┗┓┗━━┓┃ 　 　 　 　 　 　　　...ヽﾘﾞ! | l::ｰ':|　　　|:::::::}　|. | /　l|｀! |i |.　　　　 　　　┃ 　┃ <br>┗┓┏┛　　　　 ┃┃┏━━━━━━━.j | l|.! l::::::ﾉ ,　　ヽ-'　'´ i/|　 !|/ | |ﾘ ━━━━┓┃ 　┃ <br>　 ┃┃　 　 ┏━┛┃┃ 　 　　　 ┌┐ 　　| l| { //｀ iー‐‐ 'i　 　 〃/ j|| ||. |ﾉ　　　　　 　 ┃┃ 　┃ <br>　 ┃┃　　　┃┏┓┃┗━━━.んvﾍvﾍゝ | l|　ヽ　　ヽ 　 /　　 _,.ィ ノ/川l/.━━━━━┛┗━┛ <br>　 ┃┃　 ┏┛┃┃┗┓　　　 　i　　　　　.i 　ﾞi＼ゝ｀` ‐ﾞ='＝''"´|二ﾚ'l/″　　　　　　　　　　 ┏━┓ <br>　 ┗┛　 ┗━┛┗━┛　　　　ﾉ　　　　　 ! --─‐''''"ﾒ」_,､-‐''´￣ヽ､ 　 　　　　　　　　　　　┗━┛ <br>　 　　　　　　　　　　　　　　　　 r|__　　　　　ト､,-&lt;"´´　　　 　 　 　 /ﾄ､ <br>　 　　　　　　　　　　　　　　　　|　　{　　　 r'´　 ｀l　l　　　　　　　　　/||　ヽ <br>　 　　　　　　　　　　　　　　　　ﾞ､ 　 }　　　}　　　 | _|＿＿_,,､-─‐'´　|　　 ﾞ､ <br>　 　　　　　　　　　　　　　　　　　 `‐r'.,＿,.ノヽ､__ノ/　　|　 |　　　　　　|､__r'｀ﾞ′ <br>　 　　　　　　　　　　　　　　　　　　　　　　　　　　|　　 |／　　　　　i　| <br>　 　　　　　　　　　　　　　　　　　　　　　　　 　 　|　　　　　　　　　 | | <>
なすーん<>なすーん<>なすーん<> 　 　　　　　　　　　　　　　　　　　　　__　　　　　 　 ､]l./⌒ヽ､　｀ヽ､　　　　 ,r'7'"´Z__ <br>　 　　　　　　　　　　　　　　　　　　 　｀ヽ ｀ヽ､-v‐'｀ヾﾐ| |/三ミヽ　　 ｀iｰr=&lt;　　　　─ﾌ <br>　 　　　　　　　　　　　　　　　　　　　＜　　 ／´　 r'´ 　 `　　　｀ ＼　　｀|　ﾉ　　　　 ∠_ <br>　 　　　　　　　　　　　　　　　　　　　｀ヽ､__//　 /　　 |/| ヽ __＼ ＼ヽ　　|く　　　___彡'′ <br>　 　　　　　　　　　　　　　　　　　 　　｀`ｰ// 　 |_i,|-‐|　l ﾞ､ヽ　｀ヽ-､|!　　|　`ヽ=='´ <br>　 　　　　　　　　　　　　　　　　　　　 　　l/|　| '| |!|,==|　ヽヽr'⌒ヽ|ヽ|　　 |　　 | <br>　 ┏┓　 ┏━━━┓　 　 　 　 　　　　　 |　|| ｀Y ,r‐､　　ヽl,_)ヽ ﾞ､_ |　　 |　　 |.　 　 　 　　　┏━┓ <br>┏┛┗┓┗━━┓┃ 　 　 　 　 　 　　　...ヽﾘﾞ! | l::ｰ':|　　　|:::::::}　|. | /　l|｀! |i |.　　　　 　　　┃ 　┃ <br>┗┓┏┛　　　　 ┃┃┏━━━━━━━.j | l|.! l::::::ﾉ ,　　ヽ-'　'´ i/|　 !|/ | |ﾘ ━━━━┓┃ 　┃ <br>　 ┃┃　 　 ┏━┛┃┃ 　 　　　 ┌┐ 　　| l| { //｀ iー‐‐ 'i　 　 〃/ j|| ||. |ﾉ　　　　　 　 ┃┃ 　┃ <br>　 ┃┃　　　┃┏┓┃┗━━━.んvﾍvﾍゝ | l|　ヽ　　ヽ 　 /　　 _,.ィ ノ/川l/.━━━━━┛┗━┛ <br>　 ┃┃　 ┏┛┃┃┗┓　　　 　i　　　　　.i 　ﾞi＼ゝ｀` ‐ﾞ='＝''"´|二ﾚ'l/″　　　　　　　　　　 ┏━┓ <br>　 ┗┛　 ┗━┛┗━┛　　　　ﾉ　　　　　 ! --─‐''''"ﾒ」_,､-‐''´￣ヽ､ 　 　　　　　　　　　　　┗━┛ <br>　 　　　　　　　　　　　　　　　　 r|__　　　　　ト､,-&lt;"´´　　　 　 　 　 /ﾄ､ <br>　 　　　　　　　　　　　　　　　　|　　{　　　 r'´　 ｀l　l　　　　　　　　　/||　ヽ <br>　 　　　　　　　　　　　　　　　　ﾞ､ 　 }　　　}　　　 | _|＿＿_,,､-─‐'´　|　　 ﾞ､ <br>　 　　　　　　　　　　　　　　　　　 `‐r'.,＿,.ノヽ､__ノ/　　|　 |　　　　　　|､__r'｀ﾞ′ <br>　 　　　　　　　　　　　　　　　　　　　　　　　　　　|　　 |／　　　　　i　| <br>　 　　　　　　　　　　　　　　　　　　　　　　　 　 　|　　　　　　　　　 | | <>
なすーん<>なすーん<>なすーん<> 　 　　　　　　　　　　　　　　　　　　　__　　　　　 　 ､]l./⌒ヽ､　｀ヽ､　　　　 ,r'7'"´Z__ <br>　 　　　　　　　　　　　　　　　　　　 　｀ヽ ｀ヽ､-v‐'｀ヾﾐ| |/三ミヽ　　 ｀iｰr=&lt;　　　　─ﾌ <br>　 　　　　　　　　　　　　　　　　　　　＜　　 ／´　 r'´ 　 `　　　｀ ＼　　｀|　ﾉ　　　　 ∠_ <br>　 　　　　　　　　　　　　　　　　　　　｀ヽ､__//　 /　　 |/| ヽ __＼ ＼ヽ　　|く　　　___彡'′ <br>　 　　　　　　　　　　　　　　　　　 　　｀`ｰ// 　 |_i,|-‐|　l ﾞ､ヽ　｀ヽ-､|!　　|　`ヽ=='´ <br>　 　　　　　　　　　　　　　　　　　　　 　　l/|　| '| |!|,==|　ヽヽr'⌒ヽ|ヽ|　　 |　　 | <br>　 ┏┓　 ┏━━━┓　 　 　 　 　　　　　 |　|| ｀Y ,r‐､　　ヽl,_)ヽ ﾞ､_ |　　 |　　 |.　 　 　 　　　┏━┓ <br>┏┛┗┓┗━━┓┃ 　 　 　 　 　 　　　...ヽﾘﾞ! | l::ｰ':|　　　|:::::::}　|. | /　l|｀! |i |.　　　　 　　　┃ 　┃ <br>┗┓┏┛　　　　 ┃┃┏━━━━━━━.j | l|.! l::::::ﾉ ,　　ヽ-'　'´ i/|　 !|/ | |ﾘ ━━━━┓┃ 　┃ <br>　 ┃┃　 　 ┏━┛┃┃ 　 　　　 ┌┐ 　　| l| { //｀ iー‐‐ 'i　 　 〃/ j|| ||. |ﾉ　　　　　 　 ┃┃ 　┃ <br>　 ┃┃　　　┃┏┓┃┗━━━.んvﾍvﾍゝ | l|　ヽ　　ヽ 　 /　　 _,.ィ ノ/川l/.━━━━━┛┗━┛ <br>　 ┃┃　 ┏┛┃┃┗┓　　　 　i　　　　　.i 　ﾞi＼ゝ｀` ‐ﾞ='＝''"´|二ﾚ'l/″　　　　　　　　　　 ┏━┓ <br>　 ┗┛　 ┗━┛┗━┛　　　　ﾉ　　　　　 ! --─‐''''"ﾒ」_,､-‐''´￣ヽ､ 　 　　　　　　　　　　　┗━┛ <br>　 　　　　　　　　　　　　　　　　 r|__　　　　　ト､,-&lt;"´´　　　 　 　 　 /ﾄ､ <br>　 　　　　　　　　　　　　　　　　|　　{　　　 r'´　 ｀l　l　　　　　　　　　/||　ヽ <br>　 　　　　　　　　　　　　　　　　ﾞ､ 　 }　　　}　　　 | _|＿＿_,,､-─‐'´　|　　 ﾞ､ <br>　 　　　　　　　　　　　　　　　　　 `‐r'.,＿,.ノヽ､__ノ/　　|　 |　　　　　　|､__r'｀ﾞ′ <br>　 　　　　　　　　　　　　　　　　　　　　　　　　　　|　　 |／　　　　　i　| <br>　 　　　　　　　　　　　　　　　　　　　　　　　 　 　|　　　　　　　　　 | | <>
なすーん<>なすーん<>なすーん<> 　 　　　　　　　　　　　　　　　　　　　__　　　　　 　 ､]l./⌒ヽ､　｀ヽ､　　　　 ,r'7'"´Z__ <br>　 　　　　　　　　　　　　　　　　　　 　｀ヽ ｀ヽ､-v‐'｀ヾﾐ| |/三ミヽ　　 ｀iｰr=&lt;　　　　─ﾌ <br>　 　　　　　　　　　　　　　　　　　　　＜　　 ／´　 r'´ 　 `　　　｀ ＼　　｀|　ﾉ　　　　 ∠_ <br>　 　　　　　　　　　　　　　　　　　　　｀ヽ､__//　 /　　 |/| ヽ __＼ ＼ヽ　　|く　　　___彡'′ <br>　 　　　　　　　　　　　　　　　　　 　　｀`ｰ// 　 |_i,|-‐|　l ﾞ､ヽ　｀ヽ-､|!　　|　`ヽ=='´ <br>　 　　　　　　　　　　　　　　　　　　　 　　l/|　| '| |!|,==|　ヽヽr'⌒ヽ|ヽ|　　 |　　 | <br>　 ┏┓　 ┏━━━┓　 　 　 　 　　　　　 |　|| ｀Y ,r‐､　　ヽl,_)ヽ ﾞ､_ |　　 |　　 |.　 　 　 　　　┏━┓ <br>┏┛┗┓┗━━┓┃ 　 　 　 　 　 　　　...ヽﾘﾞ! | l::ｰ':|　　　|:::::::}　|. | /　l|｀! |i |.　　　　 　　　┃ 　┃ <br>┗┓┏┛　　　　 ┃┃┏━━━━━━━.j | l|.! l::::::ﾉ ,　　ヽ-'　'´ i/|　 !|/ | |ﾘ ━━━━┓┃ 　┃ <br>　 ┃┃　 　 ┏━┛┃┃ 　 　　　 ┌┐ 　　| l| { //｀ iー‐‐ 'i　 　 〃/ j|| ||. |ﾉ　　　　　 　 ┃┃ 　┃ <br>　 ┃┃　　　┃┏┓┃┗━━━.んvﾍvﾍゝ | l|　ヽ　　ヽ 　 /　　 _,.ィ ノ/川l/.━━━━━┛┗━┛ <br>　 ┃┃　 ┏┛┃┃┗┓　　　 　i　　　　　.i 　ﾞi＼ゝ｀` ‐ﾞ='＝''"´|二ﾚ'l/″　　　　　　　　　　 ┏━┓ <br>　 ┗┛　 ┗━┛┗━┛　　　　ﾉ　　　　　 ! --─‐''''"ﾒ」_,､-‐''´￣ヽ､ 　 　　　　　　　　　　　┗━┛ <br>　 　　　　　　　　　　　　　　　　 r|__　　　　　ト､,-&lt;"´´　　　 　 　 　 /ﾄ､ <br>　 　　　　　　　　　　　　　　　　|　　{　　　 r'´　 ｀l　l　　　　　　　　　/||　ヽ <br>　 　　　　　　　　　　　　　　　　ﾞ､ 　 }　　　}　　　 | _|＿＿_,,､-─‐'´　|　　 ﾞ､ <br>　 　　　　　　　　　　　　　　　　　 `‐r'.,＿,.ノヽ､__ノ/　　|　 |　　　　　　|､__r'｀ﾞ′ <br>　 　　　　　　　　　　　　　　　　　　　　　　　　　　|　　 |／　　　　　i　| <br>　 　　　　　　　　　　　　　　　　　　　　　　　 　 　|　　　　　　　　　 | | <>
